abilities,against_Bicho,against_Siniestro,against_Dragon,against_Electrico,against_Hada,against_Lucha,against_Fuego,against_Volador,against_Fantasma,against_Planta,against_Tierra,against_Hielo,against_Normal,against_Veneno,against_Psiquico,against_Roca,against_Acero,against_Agua,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Espesura', 'Clorofila'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,45,Planta,Veneno,6.9,1,0
['Espesura', 'Clorofila'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed Pokémon,63,1059860,1.0,60,Fushigisouフシギソウ,Ivysaur,88.1,2,80,80,60,Planta,Veneno,13.0,1,0
['Espesura', 'Clorofila'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,Seed Pokémon,123,1059860,2.0,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,80,Planta,Veneno,100.0,1,0
['Mar Llamas', 'Poder Solar'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,4,60,50,65,Fuego,,8.5,1,0
['Mar Llamas', 'Poder Solar'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,5,80,65,80,Fuego,,19.0,1,0
['Mar Llamas', 'Poder Solar'],0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,Fuego,Volador,90.5,1,0
['Torrente', 'Cura Lluvia'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,43,Agua,,9.0,1,0
['Torrente', 'Cura Lluvia'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle Pokémon,80,1059860,1.0,59,Kameilカメール,Wartortle,88.1,8,65,80,58,Agua,,22.5,1,0
['Torrente', 'Cura Lluvia'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,115,78,Agua,,85.5,1,0
['Polvo Escudo', 'Fuga'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50,10,20,20,45,Bicho,,2.9,1,0
['Piel Seca'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,Metapod,50,11,25,25,30,Bicho,,9.9,1,0
['Ojo Compuesto', 'Cromolente'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50,12,90,80,70,Bicho,Volador,32.0,1,0
['Polvo Escudo', 'Fuga'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,Weedle,50,13,20,20,50,Bicho,Veneno,3.2,1,0
['Piel Seca'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,Kakuna,50,14,25,25,35,Bicho,Veneno,10.0,1,0
['Enjambre', 'Francotirador'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Veneno Bee Pokémon,40,1000000,1.0,65,Spearスピアー,Beedrill,50,15,15,80,145,Bicho,Veneno,29.5,1,0
['Vista Lince', 'Tumbos', 'Sacapecho'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,Pidgey,50,16,35,35,56,Normal,Volador,1.8,1,0
['Vista Lince', 'Tumbos', 'Sacapecho'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50,17,50,50,71,Normal,Volador,30.0,1,0
['Vista Lince', 'Tumbos', 'Sacapecho'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50,18,135,80,121,Normal,Volador,39.5,1,0
['Fuga', 'Agallas', 'Entusiasmo', 'Gula', 'Entusiasmo', 'Sebo'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,Mouse Pokémon,35,1000000,,30,Korattaコラッタ,Rattata,50,19,25,35,72,Normal,Siniestro,,1,0
['Fuga', 'Agallas', 'Entusiasmo', 'Gula', 'Entusiasmo', 'Sebo'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,Mouse Pokémon,70,1000000,,75,Rattaラッタ,Raticate,50,20,40,80,77,Normal,Siniestro,,1,0
['Vista Lince', 'Francotirador'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50,21,31,31,70,Normal,Volador,2.0,1,0
['Vista Lince', 'Francotirador'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50,22,61,61,100,Normal,Volador,38.0,1,0
['Intimidacion', 'Piel Seca', 'Nerviosismo'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,Snake Pokémon,44,1000000,2.0,35,Arboアーボ,Ekans,50,23,40,54,55,Veneno,,6.9,1,0
['Intimidacion', 'Piel Seca', 'Nerviosismo'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,Arbok,50,24,65,79,80,Veneno,,65.0,1,0
['Electricidad Estatica', 'Pararrayos'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50,25,50,50,90,Electrico,,6.0,1,0
['Electricidad Estatica', 'Pararrayos', 'Cola Surf'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,Mouse Pokémon,50,1000000,,60,Raichuライチュウ,Raichu,50,26,95,85,110,Electrico,Electrico,,1,0
['Velo Arena', 'Impetu Arena', 'Manto niveo', 'Slush Rush'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,Mouse Pokémon,90,1000000,,50,Sandサンド,Sandshrew,50,27,10,35,40,Tierra,Hielo,,1,0
['Velo Arena', 'Impetu Arena', 'Manto niveo', 'Slush Rush'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,Mouse Pokémon,120,1000000,,75,Sandpanサンドパン,Sandslash,50,28,25,65,65,Tierra,Hielo,,1,0
['Punto Toxico', 'Rivalidad', 'Entusiasmo'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,Veneno Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0,29,40,40,41,Veneno,,7.0,1,0
